Хозяева;Гости;Голы хозяев;Голы гостей;День;Месяц;Год;Тур;Стадион;Город;Время начана;Сезон,
"Локомотив;Краснодар;2;1;30;августа;2015;7;стадион ""РЖД Арена"";Москва;13:30;2015/2016",
"Мордовия;Рубин;2;1;30;августа;2015;7;стадион ""Металлург"";Самара;17:00;2015/2016",
"Кубань;ЦСКА;0;1;30;августа;2015;7;стадион ""Кубань"";Краснодар;20:00;2015/2016",
"ЦСКА;Зенит;2;2;12;сентября;2015;8;стадион ""Арена Химки"";Химки;14:00;2015/2016",
"Амкар;Кубань;1;1;12;сентября;2015;8;стадион ""Звезда"";Пермь;16:30;2015/2016",
"Рубин;Локомотив;3;1;12;сентября;2015;8;стадион ""Центральный"";Казань;19:00;2015/2016",
"Спартак;Ростов;1;0;13;сентября;2015;8;стадион ""Открытие Арена"";Москва;13:30;2015/2016",
"Краснодар;Динамо;4;0;13;сентября;2015;8;стадион ""Кубань"";Краснодар;16:30;2015/2016",
"Анжи;Терек;0;2;13;сентября;2015;8;стадион ""Анжи Арена"";Каспийск;19:00;2015/2016",
"Уфа;Урал;0;1;14;сентября;2015;8;стадион ""Нефтяник"";Уфа;16:00;2015/2016",
"Крылья Советов;Мордовия;1;0;14;сентября;2015;8;стадион ""Металлург"";Самара;18:30;2015/2016",
"Ростов;Анжи;1;0;18;сентября;2015;9;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2015/2016",
"Терек;Уфа;4;1;19;сентября;2015;9;стадион ""Ахмат Арена"";Грозный;16:00;2015/2016",
"Кубань;Спартак;3;0;19;сентября;2015;9;стадион ""Кубань"";Краснодар;19:00;2015/2016",
"Мордовия;ЦСКА;4;6;20;сентября;2015;9;стадион ""Старт"";Саранск;13:30;2015/2016",
"Зенит;Амкар;1;1;20;сентября;2015;9;стадион ""Петровский"";Санкт-Петербург;17:00;2015/2016",
"Локомотив;Крылья Советов;2;0;20;сентября;2015;9;стадион ""РЖД Арена"";Москва;19:30;2015/2016",
"Урал;Краснодар;3;1;21;сентября;2015;9;стадион ""СКБ-Банк Арена"";Екатеринбург;16:30;2015/2016",
"Динамо;Рубин;0;0;21;сентября;2015;9;стадион ""Арена Химки"";Химки;19:00;2015/2016",
"ЦСКА;Локомотив;1;1;26;сентября;2015;10;стадион ""Арена Химки"";Химки;14:00;2015/2016",
"Анжи;Уфа;1;1;26;сентября;2015;10;стадион ""Анжи Арена"";Каспийск;16:30;2015/2016",
"Спартак;Зенит;2;2;26;сентября;2015;10;стадион ""Открытие Арена"";Москва;19:00;2015/2016",
"Крылья Советов;Динамо;0;0;27;сентября;2015;10;стадион ""Металлург"";Самара;13:30;2015/2016",
"Краснодар;Терек;1;1;27;сентября;2015;10;стадион ""Кубань"";Краснодар;16:30;2015/2016",
"Рубин;Урал;1;2;27;сентября;2015;10;стадион ""Центральный"";Казань;19:00;2015/2016",
"Амкар;Мордовия;2;1;28;сентября;2015;10;стадион ""Звезда"";Пермь;16:30;2015/2016",
"Ростов;Кубань;2;1;28;сентября;2015;10;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2015/2016",
"Урал;Крылья Советов;1;1;2;октября;2015;11;стадион ""СКБ-Банк Арена"";Екатеринбург;17:00;2015/2016",
"Мордовия;Спартак;0;1;3;октября;2015;11;стадион ""Старт"";Саранск;14:30;2015/2016",
"Зенит;Ростов;3;0;3;октября;2015;11;стадион ""Петровский"";Санкт-Петербург;17:00;2015/2016",
"Кубань;Анжи;1;1;3;октября;2015;11;стадион ""Кубань"";Краснодар;19:30;2015/2016",
"Динамо;ЦСКА;0;2;4;октября;2015;11;стадион ""Арена Химки"";Химки;13:30;2015/2016",
"Терек;Рубин;2;1;4;октября;2015;11;стадион ""Ахмат Арена"";Грозный;16:00;2015/2016",
"Уфа;Краснодар;1;1;4;октября;2015;11;стадион ""Нефтяник"";Уфа;16:00;2015/2016",
"Локомотив;Амкар;3;0;4;октября;2015;11;стадион ""РЖД Арена"";Москва;19:00;2015/2016",
"ЦСКА;Урал;3;2;17;октября;2015;12;стадион ""Арена Химки"";Химки;14:00;2015/2016",
"Амкар;Динамо;1;1;17;октября;2015;12;стадион ""Звезда"";Пермь;16:30;2015/2016",
"Кубань;Зенит;2;2;17;октября;2015;12;стадион ""Кубань"";Краснодар;16:30;2015/2016",
"Рубин;Уфа;3;1;17;октября;2015;12;стадион ""Центральный"";Казань;19:00;2015/2016",
"Спартак;Локомотив;1;2;18;октября;2015;12;стадион ""Открытие Арена"";Москва;13:30;2015/2016",
"Крылья Советов;Терек;0;2;18;октября;2015;12;стадион ""Металлург"";Самара;16:00;2015/2016",
"Анжи;Краснодар;2;2;18;октября;2015;12;стадион ""Анжи Арена"";Каспийск;18:30;2015/2016",
"Ростов;Мордовия;3;2;19;октября;2015;12;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2015/2016",
"Уфа;Крылья Советов;1;0;23;октября;2015;13;стадион ""Нефтяник"";Уфа;17:00;2015/2016",
"Урал;Амкар;3;1;24;октября;2015;13;стадион ""СКБ-Банк Арена"";Екатеринбург;12:00;2015/2016",
"Мордовия;Кубань;1;1;24;октября;2015;13;стадион ""Старт"";Саранск;14:30;2015/2016",
"Зенит;Анжи;5;1;24;октября;2015;13;стадион ""Петровский"";Санкт-Петербург;17:00;2015/2016",
"Динамо;Спартак;2;3;25;октября;2015;13;стадион ""Арена Химки"";Химки;13:30;2015/2016",
"Краснодар;Рубин;2;1;25;октября;2015;13;стадион ""Кубань"";Краснодар;16:30;2015/2016",
"Терек;ЦСКА;0;0;25;октября;2015;13;стадион ""Ахмат Арена"";Грозный;19:00;2015/2016",
"Локомотив;Ростов;0;2;26;октября;2015;13;стадион ""РЖД Арена"";Москва;19:30;2015/2016",
"ЦСКА;Уфа;2;0;31;октября;2015;14;стадион ""Арена Химки"";Химки;14:30;2015/2016",
"Зенит;Мордовия;0;0;31;октября;2015;14;стадион ""Петровский"";Санкт-Петербург;17:00;2015/2016",
"Крылья Советов;Краснодар;0;4;1;ноября;2015;14;стадион ""Металлург"";Самара;14:00;2015/2016",
"Анжи;Рубин;1;2;1;ноября;2015;14;стадион ""Анжи Арена"";Каспийск;16:30;2015/2016",
"Кубань;Локомотив;6;2;1;ноября;2015;14;стадион ""Кубань"";Краснодар;19:00;2015/2016",
"Спартак;Урал;0;1;1;ноября;2015;14;стадион ""Открытие Арена"";Москва;19:30;2015/2016",
"Амкар;Терек;1;0;2;ноября;2015;14;стадион ""Звезда"";Пермь;17:00;2015/2016",
"Ростов;Динамо;1;0;2;ноября;2015;14;стадион ""Олимп-2"";Ростов-на-Дону;19:30;2015/2016",
"Мордовия;Анжи;4;0;6;ноября;2015;15;стадион ""Старт"";Саранск;19:00;2015/2016",
"Урал;Ростов;1;2;7;ноября;2015;15;стадион ""СКБ-Банк Арена"";Екатеринбург;14:00;2015/2016",
"Уфа;Амкар;2;1;7;ноября;2015;15;стадион ""Нефтяник"";Уфа;16:15;2015/2016",
"Динамо;Кубань;2;1;7;ноября;2015;15;стадион ""Арена Химки"";Химки;18:30;2015/2016",
"Терек;Спартак;2;1;7;ноября;2015;15;стадион ""Ахмат Арена"";Грозный;19:30;2015/2016",
"Рубин;Крылья Советов;2;0;8;ноября;2015;15;стадион ""Центральный"";Казань;14:30;2015/2016",
"Краснодар;ЦСКА;2;1;8;ноября;2015;15;стадион ""Кубань"";Краснодар;17:00;2015/2016",
"Локомотив;Зенит;2;0;8;ноября;2015;15;стадион ""РЖД Арена"";Москва;19:30;2015/2016",
"Амкар;Рубин;1;2;21;ноября;2015;16;стадион ""Звезда"";Пермь;12:00;2015/2016",
"ЦСКА;Крылья Советов;0;2;21;ноября;2015;16;стадион ""Арена Химки"";Химки;14:00;2015/2016",
"Зенит;Урал;3;0;21;ноября;2015;16;стадион ""Петровский"";Санкт-Петербург;16:30;2015/2016",
"Локомотив;Анжи;0;2;21;ноября;2015;16;стадион ""РЖД Арена"";Москва;19:00;2015/2016",
"Мордовия;Динамо;1;1;22;ноября;2015;16;стадион ""Старт"";Саранск;14:30;2015/2016",
"Кубань;Терек;2;2;22;ноября;2015;16;стадион ""Кубань"";Краснодар;17:00;2015/2016",
"Спартак;Краснодар;3;2;22;ноября;2015;16;стадион ""Открытие Арена"";Москва;19:30;2015/2016",
"Ростов;Уфа;1;1;23;ноября;2015;16;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2015/2016",
"Урал;Мордовия;3;1;27;ноября;2015;17;стадион ""СКБ-Банк Арена"";Екатеринбург;17:00;2015/2016",
"Уфа;Кубань;2;2;28;ноября;2015;17;стадион ""Нефтяник"";Уфа;12:30;2015/2016",
"Крылья Советов;Амкар;0;0;28;ноября;2015;17;стадион ""Металлург"";Самара;15:00;2015/2016",
"Терек;Зенит;4;1;28;ноября;2015;17;стадион ""Ахмат Арена"";Грозный;17:30;2015/2016",
"Анжи;ЦСКА;1;1;29;ноября;2015;17;стадион ""Анжи Арена"";Каспийск;15:00;2015/2016",
"Краснодар;Ростов;2;1;30;ноября;2015;17;стадион ""Кубань"";Краснодар;19:00;2015/2016",
"Динамо;Локомотив;2;2;30;ноября;2015;17;стадион ""Арена Химки"";Химки;19:00;2015/2016",
"Рубин;Спартак;2;2;30;ноября;2015;17;стадион ""Ак Барс Арена"";Казань;19:15;2015/2016",
"Амкар;ЦСКА;2;0;3;декабря;2015;18;стадион ""Звезда"";Пермь;17:00;2015/2016",
"Мордовия;Терек;0;0;3;декабря;2015;18;стадион ""Старт"";Саранск;19:00;2015/2016",
"Зенит;Уфа;1;1;3;декабря;2015;18;стадион ""Петровский"";Санкт-Петербург;19:00;2015/2016",
"Спартак;Крылья Советов;1;0;4;декабря;2015;18;стадион ""Открытие Арена"";Москва;19:00;2015/2016",
"Локомотив;Урал;2;2;4;декабря;2015;18;стадион ""РЖД Арена"";Москва;19:00;2015/2016",
"Кубань;Краснодар;2;3;4;декабря;2015;18;стадион ""Кубань"";Краснодар;19:00;2015/2016",
"Ростов;Рубин;1;0;4;декабря;2015;18;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2015/2016",
"Динамо;Анжи;1;2;4;декабря;2015;18;стадион ""Арена Химки"";Химки;19:00;2015/2016",
"Крылья Советов;Ростов;0;1;5;марта;2016;19;стадион ""Старт"";Саранск;14:30;2015/2016",
"Рубин;Кубань;1;0;5;марта;2016;19;стадион ""Ак Барс Арена"";Казань;17:00;2015/2016",
"Краснодар;Зенит;0;0;5;марта;2016;19;стадион ""Кубань"";Краснодар;19:30;2015/2016",
"Уфа;Мордовия;1;1;6;марта;2016;19;стадион ""Нефтяник"";Уфа;14:30;2015/2016",
"Терек;Локомотив;2;1;6;марта;2016;19;стадион ""Ахмат Арена"";Грозный;17:00;2015/2016",
"ЦСКА;Спартак;1;0;6;марта;2016;19;стадион ""Арена Химки"";Химки;19:30;2015/2016",
"Урал;Динамо;1;1;7;марта;2016;19;стадион ""СКБ-Банк Арена"";Екатеринбург;14:30;2015/2016",
"Анжи;Амкар;0;1;7;марта;2016;19;стадион ""Анжи Арена"";Каспийск;17:00;2015/2016",
"Кубань;Крылья Советов;2;0;11;марта;2016;20;стадион ""Кубань"";Краснодар;19:00;2015/2016",
"Урал;Анжи;4;2;12;марта;2016;20;стадион ""СКБ-Банк Арена"";Екатеринбург;14:30;2015/2016",
"Спартак;Амкар;2;1;12;марта;2016;20;стадион ""Открытие Арена"";Москва;17:00;2015/2016",
"Ростов;ЦСКА;2;0;12;марта;2016;20;стадион ""Олимп-2"";Ростов-на-Дону;19:30;2015/2016",
"Мордовия;Краснодар;0;1;13;марта;2016;20;стадион ""Старт"";Саранск;14:30;2015/2016",
"Локомотив;Уфа;2;0;13;марта;2016;20;стадион ""РЖД Арена"";Москва;17:00;2015/2016",
"Зенит;Рубин;4;2;13;марта;2016;20;стадион ""Петровский"";Санкт-Петербург;19:30;2015/2016",
"Динамо;Терек;0;1;14;марта;2016;20;стадион ""Арена Химки"";Химки;19:00;2015/2016",
"Амкар;Ростов;0;0;18;марта;2016;21;стадион ""Звезда"";Пермь;17:00;2015/2016",
"Анжи;Спартак;0;4;18;марта;2016;21;стадион ""Анжи Арена"";Каспийск;19:30;2015/2016",
"Уфа;Динамо;0;1;19;марта;2016;21;стадион ""Нефтяник"";Уфа;14:30;2015/2016",
"Терек;Урал;1;1;19;марта;2016;21;стадион ""Ахмат Арена"";Грозный;17:00;2015/2016",
"ЦСКА;Кубань;2;0;19;марта;2016;21;стадион ""Арена Химки"";Химки;19:30;2015/2016",
"Крылья Советов;Зенит;0;2;20;марта;2016;21;стадион ""Старт"";Саранск;14:30;2015/2016",
"Рубин;Мордовия;1;1;20;марта;2016;21;стадион ""Ак Барс Арена"";Казань;17:00;2015/2016",
"Краснодар;Локомотив;1;2;20;марта;2016;21;стадион ""Кубань"";Краснодар;19:30;2015/2016",
"Урал;Уфа;1;0;2;апреля;2016;22;стадион ""СКБ-Банк Арена"";Екатеринбург;12:00;2015/2016",
"Терек;Анжи;3;2;2;апреля;2016;22;стадион ""Ахмат Арена"";Грозный;14:30;2015/2016",
"Кубань;Амкар;1;1;2;апреля;2016;22;стадион ""Кубань"";Краснодар;17:00;2015/2016",
"Ростов;Спартак;2;0;2;апреля;2016;22;стадион ""Олимп-2"";Ростов-на-Дону;19:30;2015/2016",
"Локомотив;Рубин;1;0;3;апреля;2016;22;стадион ""РЖД Арена"";Москва;17:00;2015/2016",
"Зенит;ЦСКА;2;0;3;апреля;2016;22;стадион ""Петровский"";Санкт-Петербург;19:30;2015/2016",
"Мордовия;Крылья Советов;1;2;4;апреля;2016;22;стадион ""Старт"";Саранск;19:00;2015/2016",
"Динамо;Краснодар;1;4;4;апреля;2016;22;стадион ""Арена Химки"";Химки;19:30;2015/2016",
"Анжи;Ростов;0;0;8;апреля;2016;23;стадион ""Анжи Арена"";Каспийск;19:00;2015/2016",
"ЦСКА;Мордовия;7;1;9;апреля;2016;23;стадион ""Арена Химки"";Химки;13:30;2015/2016",
"Амкар;Зенит;0;2;9;апреля;2016;23;стадион ""Звезда"";Пермь;14:30;2015/2016",
"Рубин;Динамо;4;1;9;апреля;2016;23;стадион ""Ак Барс Арена"";Казань;19:30;2015/2016",
"Уфа;Терек;1;0;10;апреля;2016;23;стадион ""Нефтяник"";Уфа;14:30;2015/2016",
"Краснодар;Урал;6;0;10;апреля;2016;23;стадион ""Кубань"";Краснодар;17:00;2015/2016",
"Спартак;Кубань;2;2;10;апреля;2016;23;стадион ""Открытие Арена"";Москва;19:30;2015/2016",
"Крылья Советов;Локомотив;0;0;11;апреля;2016;23;стадион ""Металлург"";Самара;18:00;2015/2016",
"Мордовия;Амкар;1;1;15;апреля;2016;24;стадион ""Старт"";Саранск;19:00;2015/2016",
"Терек;Краснодар;0;1;16;апреля;2016;24;стадион ""Ахмат Арена"";Грозный;14:30;2015/2016",
"Локомотив;ЦСКА;1;1;16;апреля;2016;24;стадион ""РЖД Арена"";Москва;17:00;2015/2016",
"Зенит;Спартак;5;2;16;апреля;2016;24;стадион ""Петровский"";Санкт-Петербург;19:30;2015/2016",
"Уфа;Анжи;2;0;17;апреля;2016;24;стадион ""Нефтяник"";Уфа;14:30;2015/2016",
"Динамо;Крылья Советов;0;1;17;апреля;2016;24;стадион ""Арена Химки"";Химки;17:00;2015/2016",
"Кубань;Ростов;0;1;17;апреля;2016;24;стадион ""Кубань"";Краснодар;19:30;2015/2016",
"Урал;Рубин;0;1;18;апреля;2016;24;стадион ""СКБ-Банк Арена"";Екатеринбург;17:00;2015/2016",
"Крылья Советов;Урал;1;1;23;апреля;2016;25;стадион ""Металлург"";Самара;14:30;2015/2016",
"Спартак;Мордовия;2;2;23;апреля;2016;25;стадион ""Открытие Арена"";Москва;17:00;2015/2016",
"Рубин;Терек;0;1;23;апреля;2016;25;стадион ""Центральный"";Казань;19:30;2015/2016",
"Амкар;Локомотив;0;1;24;апреля;2016;25;стадион ""Звезда"";Пермь;12:00;2015/2016",
"Краснодар;Уфа;4;0;24;апреля;2016;25;стадион ""Кубань"";Краснодар;14:30;2015/2016",
"ЦСКА;Динамо;1;0;24;апреля;2016;25;стадион ""Арена Химки"";Химки;17:00;2015/2016",
"Анжи;Кубань;1;0;24;апреля;2016;25;стадион ""Анжи Арена"";Каспийск;19:30;2015/2016",
"Ростов;Зенит;3;0;24;апреля;2016;25;стадион ""Олимп-2"";Ростов-на-Дону;19:30;2015/2016",
"Урал;ЦСКА;0;3;28;апреля;2016;26;стадион ""СКБ-Банк Арена"";Екатеринбург;17:00;2015/2016",
"Зенит;Кубань;4;1;28;апреля;2016;26;стадион ""Петровский"";Санкт-Петербург;19:30;2015/2016",
"Динамо;Амкар;0;0;29;апреля;2016;26;стадион ""Арена Химки"";Химки;19:00;2015/2016",
"Локомотив;Спартак;0;2;30;апреля;2016;26;стадион ""РЖД Арена"";Москва;19:30;2015/2016",
"Уфа;Рубин;1;1;1;мая;2016;26;стадион ""Нефтяник"";Уфа;12:00;2015/2016",
"Мордовия;Ростов;2;1;1;мая;2016;26;стадион ""Старт"";Саранск;14:30;2015/2016",
"Терек;Крылья Советов;0;1;1;мая;2016;26;стадион ""Ахмат Арена"";Грозный;17:00;2015/2016",
"Краснодар;Анжи;3;0;1;мая;2016;26;стадион ""Кубань"";Краснодар;19:30;2015/2016",
"Крылья Советов;Уфа;1;0;6;мая;2016;27;стадион ""Металлург"";Самара;18:00;2015/2016",
"Ростов;Локомотив;2;1;6;мая;2016;27;стадион ""Олимп-2"";Ростов-на-Дону;19:30;2015/2016",
"ЦСКА;Терек;1;0;7;мая;2016;27;стадион ""Арена Химки"";Химки;14:30;2015/2016",
"Анжи;Зенит;0;1;7;мая;2016;27;стадион ""Анжи Арена"";Каспийск;17:00;2015/2016",
"Кубань;Мордовия;1;2;7;мая;2016;27;стадион ""Кубань"";Краснодар;17:00;2015/2016",
"Рубин;Краснодар;1;1;7;мая;2016;27;стадион ""Ак Барс Арена"";Казань;19:30;2015/2016",
"Амкар;Урал;1;1;8;мая;2016;27;стадион ""Звезда"";Пермь;14:30;2015/2016",
"Спартак;Динамо;3;0;8;мая;2016;27;стадион ""Открытие Арена"";Москва;19:30;2015/2016",
"Уфа;ЦСКА;1;3;11;мая;2016;28;стадион ""Динамо"";Уфа;17:00;2015/2016",
"Рубин;Анжи;1;2;11;мая;2016;28;стадион ""Ак Барс Арена"";Казань;19:00;2015/2016",
"Краснодар;Крылья Советов;3;0;11;мая;2016;28;стадион ""Кубань"";Краснодар;19:30;2015/2016",
"Локомотив;Кубань;0;1;11;мая;2016;28;стадион ""РЖД Арена"";Москва;19:30;2015/2016",
"Мордовия;Зенит;0;3;11;мая;2016;28;стадион ""Старт"";Саранск;19:30;2015/2016",
"Урал;Спартак;0;1;12;мая;2016;28;стадион ""СКБ-Банк Арена"";Екатеринбург;17:00;2015/2016",
"Терек;Амкар;2;0;12;мая;2016;28;стадион ""Ахмат Арена"";Грозный;19:00;2015/2016",
"Динамо;Ростов;1;3;12;мая;2016;28;стадион ""Арена Химки"";Химки;19:30;2015/2016",
"Крылья Советов;Рубин;1;1;15;мая;2016;29;стадион ""Металлург"";Самара;14:30;2015/2016",
"Анжи;Мордовия;3;0;15;мая;2016;29;стадион ""Анжи Арена"";Каспийск;17:00;2015/2016",
"Зенит;Локомотив;1;1;15;мая;2016;29;стадион ""Петровский"";Санкт-Петербург;19:00;2015/2016",
"Амкар;Уфа;1;0;16;мая;2016;29;стадион ""Звезда"";Пермь;17:00;2015/2016",
"Кубань;Динамо;1;0;16;мая;2016;29;стадион ""Кубань"";Краснодар;19:30;2015/2016",
"Ростов;Урал;1;0;16;мая;2016;29;стадион ""Олимп-2"";Ростов-на-Дону;19:30;2015/2016",
"Спартак;Терек;3;0;16;мая;2016;29;стадион ""Открытие Арена"";Москва;19:30;2015/2016",
"ЦСКА;Краснодар;2;0;16;мая;2016;29;стадион ""Арена Химки"";Химки;19:30;2015/2016",
"Крылья Советов;Анжи;0;0;21;мая;2016;30;стадион ""Металлург"";Самара;13:30;2015/2016",
"Рубин;ЦСКА;0;1;21;мая;2016;30;стадион ""Ак Барс Арена"";Казань;13:30;2015/2016",
"Краснодар;Амкар;1;0;21;мая;2016;30;стадион ""Кубань"";Краснодар;13:30;2015/2016",
"Уфа;Спартак;3;1;21;мая;2016;30;стадион ""Нефтяник"";Уфа;13:30;2015/2016",
"Терек;Ростов;0;2;21;мая;2016;30;стадион ""Ахмат Арена"";Грозный;13:30;2015/2016",
"Урал;Кубань;2;0;21;мая;2016;30;стадион ""СКБ-Банк Арена"";Екатеринбург;13:30;2015/2016",
"Динамо;Зенит;0;3;21;мая;2016;30;стадион ""Арена Химки"";Химки;13:30;2015/2016",
"Локомотив;Мордовия;3;0;21;мая;2016;30;стадион ""РЖД Арена"";Москва;13:30;2015/2016",
"Зенит;Локомотив;0;0;30;июля;2016;1;стадион ""Петровский"";Санкт-Петербург;17:30;2016/2017",
"Анжи;ЦСКА;0;0;30;июля;2016;1;стадион ""Анжи Арена"";Каспийск;20:00;2016/2017",
"Ростов;Оренбург;1;0;30;июля;2016;1;стадион ""Олимп-2"";Ростов-на-Дону;21:30;2016/2017",
"Урал;Уфа;2;0;31;июля;2016;1;стадион ""СКБ-Банк Арена"";Екатеринбург;15:30;2016/2017",
"Спартак;Арсенал Т;4;0;31;июля;2016;1;стадион ""Открытие Арена"";Москва;18:00;2016/2017",
"Терек;Крылья Советов;1;0;31;июля;2016;1;стадион ""Ахмат Арена"";Грозный;20:30;2016/2017",
"Краснодар;Томь;3;0;1;августа;2016;1;стадион ""Кубань"";Краснодар;19:30;2016/2017",
"Рубин;Амкар;0;0;1;августа;2016;1;стадион ""Центральный"";Казань;19:30;2016/2017",
"Уфа;Зенит;0;0;6;августа;2016;2;стадион ""Нефтяник"";Уфа;17:00;2016/2017",
"Арсенал Т;Рубин;1;0;6;августа;2016;2;стадион ""Арсенал"";Тула;19:30;2016/2017",
"Оренбург;ЦСКА;0;1;7;августа;2016;2;стадион ""Газовик"";Оренбург;16:00;2016/2017",
"Амкар;Анжи;2;0;7;августа;2016;2;стадион ""Звезда"";Пермь;16:30;2016/2017",
"Локомотив;Томь;2;2;7;августа;2016;2;стадион ""РЖД Арена"";Москва;19:00;2016/2017",
"Ростов;Урал;0;0;7;августа;2016;2;стадион ""Олимп-2"";Ростов-на-Дону;21:30;2016/2017",
"Спартак;Крылья Советов;1;0;8;августа;2016;2;стадион ""Открытие Арена"";Москва;19:30;2016/2017",
"Краснодар;Терек;4;0;8;августа;2016;2;стадион ""Кубань"";Краснодар;19:30;2016/2017",
"Зенит;Ростов;3;2;12;августа;2016;3;стадион ""Петровский"";Санкт-Петербург;19:30;2016/2017",
"Урал;ЦСКА;0;1;13;августа;2016;3;стадион ""СКБ-Банк Арена"";Екатеринбург;15:30;2016/2017",
"Крылья Советов;Краснодар;1;1;13;августа;2016;3;стадион ""Металлург"";Самара;18:00;2016/2017",
"Рубин;Спартак;1;1;13;августа;2016;3;стадион ""Центральный"";Казань;20:30;2016/2017",
"Томь;Уфа;1;0;14;августа;2016;3;стадион ""Труд"";Томск;15:30;2016/2017",
"Анжи;Арсенал Т;1;0;14;августа;2016;3;стадион ""Анжи Арена"";Каспийск;20:00;2016/2017",
"Терек;Локомотив;1;1;14;августа;2016;3;стадион ""Ахмат Арена"";Грозный;20:30;2016/2017",
"Оренбург;Амкар;0;0;15;августа;2016;3;стадион ""Газовик"";Оренбург;17:30;2016/2017",
"Рубин;Анжи;1;2;19;августа;2016;4;стадион ""Центральный"";Казань;19:30;2016/2017",
"Уфа;Терек;1;3;20;августа;2016;4;стадион ""Нефтяник"";Уфа;14:30;2016/2017",
"Зенит;ЦСКА;1;1;20;августа;2016;4;стадион ""Петровский"";Санкт-Петербург;17:00;2016/2017",
"Ростов;Томь;3;0;20;августа;2016;4;стадион ""Олимп-2"";Ростов-на-Дону;21:30;2016/2017",
"Амкар;Урал;1;0;21;августа;2016;4;стадион ""Звезда"";Пермь;15:30;2016/2017",
"Спартак;Краснодар;2;0;21;августа;2016;4;стадион ""Открытие Арена"";Москва;18:00;2016/2017",
"Локомотив;Крылья Советов;0;0;21;августа;2016;4;стадион ""РЖД Арена"";Москва;20:30;2016/2017",
"Арсенал Т;Оренбург;0;0;22;августа;2016;4;стадион ""Арсенал"";Тула;19:30;2016/2017",
"Крылья Советов;Уфа;0;1;26;августа;2016;5;стадион ""Металлург"";Самара;18:30;2016/2017",
"Оренбург;Рубин;1;1;27;августа;2016;5;стадион ""Газовик"";Оренбург;13:00;2016/2017",
"Томь;ЦСКА;0;1;27;августа;2016;5;стадион ""Труд"";Томск;15:30;2016/2017",
"Зенит;Амкар;3;0;27;августа;2016;5;стадион ""Петровский"";Санкт-Петербург;18:00;2016/2017",
"Урал;Арсенал Т;1;1;28;августа;2016;5;стадион ""СКБ-Банк Арена"";Екатеринбург;17:00;2016/2017",
"Терек;Ростов;2;1;28;августа;2016;5;стадион ""Ахмат Арена"";Грозный;19:15;2016/2017",
"Краснодар;Локомотив;1;2;28;августа;2016;5;стадион ""Кубань"";Краснодар;19:15;2016/2017",
"Анжи;Спартак;0;2;28;августа;2016;5;стадион ""Анжи Арена"";Каспийск;21:30;2016/2017",
"Ростов;Крылья Советов;2;1;9;сентября;2016;6;стадион ""Олимп-2"";Ростов-на-Дону;20:00;2016/2017",
"Амкар;Томь;1;0;10;сентября;2016;6;стадион ""Звезда"";Пермь;15:30;2016/2017",
"Оренбург;Анжи;0;0;10;сентября;2016;6;стадион ""Газовик"";Оренбург;18:00;2016/2017",
"ЦСКА;Терек;3;0;10;сентября;2016;6;стадион ""ВЭБ Арена"";Москва;20:30;2016/2017",
"Уфа;Краснодар;0;0;11;сентября;2016;6;стадион ""Нефтяник"";Уфа;14:00;2016/2017",
"Спартак;Локомотив;1;0;11;сентября;2016;6;стадион ""Открытие Арена"";Москва;16:30;2016/2017",
"Арсенал Т;Зенит;0;5;11;сентября;2016;6;стадион ""Арсенал"";Тула;19:00;2016/2017",
"Рубин;Урал;3;1;12;сентября;2016;6;стадион ""Центральный"";Казань;19:30;2016/2017",
"Оренбург;Спартак;1;3;16;сентября;2016;7;стадион ""Газовик"";Оренбург;17:00;2016/2017",
"Томь;Арсенал Т;1;0;17;сентября;2016;7;стадион ""Труд"";Томск;14:00;2016/2017",
"Урал;Анжи;0;1;17;сентября;2016;7;стадион ""СКБ-Банк Арена"";Екатеринбург;16:30;2016/2017",
"Терек;Амкар;1;3;17;сентября;2016;7;стадион ""Ахмат Арена"";Грозный;19:00;2016/2017",
"Локомотив;Уфа;0;1;17;сентября;2016;7;стадион ""РЖД Арена"";Москва;19:00;2016/2017",
"Крылья Советов;ЦСКА;1;2;18;сентября;2016;7;стадион ""Металлург"";Самара;17:15;2016/2017",
"Краснодар;Ростов;2;1;18;сентября;2016;7;стадион ""Кубань"";Краснодар;20:00;2016/2017",
"Зенит;Рубин;4;1;19;сентября;2016;7;стадион ""Петровский"";Санкт-Петербург;19:30;2016/2017",
"ЦСКА;Краснодар;1;1;24;сентября;2016;8;стадион ""ВЭБ Арена"";Москва;17:00;2016/2017",
"Ростов;Локомотив;1;0;24;сентября;2016;8;стадион ""Олимп-2"";Ростов-на-Дону;21:30;2016/2017",
"Оренбург;Урал;0;1;25;сентября;2016;8;стадион ""Газовик"";Оренбург;12:00;2016/2017",
"Арсенал Т;Терек;0;0;25;сентября;2016;8;стадион ""Арсенал"";Тула;14:30;2016/2017",
"Спартак;Уфа;0;1;25;сентября;2016;8;стадион ""Открытие Арена"";Москва;17:00;2016/2017",
"Анжи;Зенит;2;2;25;сентября;2016;8;стадион ""Анжи Арена"";Каспийск;19:30;2016/2017",
