Хозяева;Гости;Голы хозяев;Голы гостей;День;Месяц;Год;Тур;Стадион;Город;Время начана;Сезон,
"Анжи;Спартак;0;1;3;октября;2010;23;стадион ""Динамо"";Махачкала;16:15;2010",
"Спартак Нч;Зенит;2;3;3;октября;2010;23;стадион ""Спартак"";Нальчик;18:30;2010",
"Cатурн;Локомотив;0;1;3;октября;2010;23;стадион ""Сатурн"";Раменское;20:45;2010",
"Спартак;Алания;3;0;15;октября;2010;24;стадион ""Лужники"";Москва;19:00;2010",
"Томь;Cатурн;2;2;16;октября;2010;24;стадион ""Труд"";Томск;14:00;2010",
"Зенит;Амкар;2;0;16;октября;2010;24;стадион ""Петровский"";Санкт-Петербург;16:15;2010",
"Рубин;Ростов;2;1;16;октября;2010;24;стадион ""Центральный"";Казань;18:30;2010",
"Терек;ЦСКА;0;3;17;октября;2010;24;стадион ""им. Билимханова"";Грозный;14:00;2010",
"Динамо;Анжи;4;0;17;октября;2010;24;стадион ""Арена Химки"";Химки;16:15;2010",
"Крылья Советов;Сибирь;1;1;17;октября;2010;24;стадион ""Металлург"";Самара;18:30;2010",
"Локомотив;Спартак Нч;1;0;17;октября;2010;24;стадион ""РЖД Арена"";Москва;20:45;2010",
"Сибирь;Спартак;0;0;23;октября;2010;25;стадион ""Спартак"";Новосибирск;11:45;2010",
"Алания;Динамо;0;0;23;октября;2010;25;стадион ""Республиканский стадион Спартак"";Владикавказ;14:00;2010",
"Спартак Нч;Томь;2;1;23;октября;2010;25;стадион ""Спартак"";Нальчик;16:15;2010",
"Cатурн;Терек;1;0;23;октября;2010;25;стадион ""Сатурн"";Раменское;18:30;2010",
"Амкар;Локомотив;1;2;24;октября;2010;25;стадион ""Звезда"";Пермь;12:00;2010",
"ЦСКА;Рубин;0;0;24;октября;2010;25;стадион ""Арена Химки"";Химки;14:10;2010",
"Анжи;Зенит;3;3;24;октября;2010;25;стадион ""Динамо"";Махачкала;16:30;2010",
"Ростов;Крылья Советов;1;2;24;октября;2010;25;стадион ""Олимп-2"";Ростов-на-Дону;18:45;2010",
"Крылья Советов;Рубин;0;2;29;октября;2010;26;стадион ""Металлург"";Самара;18:45;2010",
"Динамо;Сибирь;4;1;30;октября;2010;26;стадион ""Арена Химки"";Химки;17:00;2010",
"Спартак;Ростов;2;1;30;октября;2010;26;стадион ""Лужники"";Москва;19:30;2010",
"Томь;Амкар;1;0;31;октября;2010;26;стадион ""Труд"";Томск;11:45;2010",
"Зенит;Алания;3;0;31;октября;2010;26;стадион ""Петровский"";Санкт-Петербург;14:00;2010",
"Терек;Спартак Нч;1;1;31;октября;2010;26;стадион ""им. Билимханова"";Грозный;14:00;2010",
"Анжи;Локомотив;0;1;31;октября;2010;26;стадион ""Динамо"";Махачкала;16:15;2010",
"Cатурн;ЦСКА;1;1;31;октября;2010;26;стадион ""Сатурн"";Раменское;18:30;2010",
"Спартак Нч;Cатурн;2;0;5;ноября;2010;27;стадион ""Спартак"";Нальчик;16:00;2010",
"Амкар;Терек;2;0;6;ноября;2010;27;стадион ""Звезда"";Пермь;14:00;2010",
"Анжи;Томь;1;0;6;ноября;2010;27;стадион ""Динамо"";Махачкала;16:15;2010",
"Ростов;Динамо;1;1;6;ноября;2010;27;стадион ""Олимп-2"";Ростов-на-Дону;18:30;2010",
"Сибирь;Зенит;2;5;7;ноября;2010;27;стадион ""Спартак"";Новосибирск;14:00;2010",
